StreetCode,StreetName
121810,GREENWICH MEWS
121820,GRESHAM ROAD
121980,GROVE COURT
121990,GROVE STREET
122000,GUSTAVE L LEVY PLACE
122110,HALF MOON ROAD
122170,TARAS SHEVCHENKO PLACE
122180,HAMILL PLACE
122190,HAMILTON PLACE
122290,HAMILTON TERRACE
122390,HANCOCK PLACE
122410,HANOVER SQUARE
122412,HANOVER STREET
122450,HARLEM RIVER DRIVE
122490,HARRISON STREET
122590,HAVEN AVENUE
122605,HAY ROAD
122640,HENDERSON PLACE
122690,HENRY STREET
122790,HENSHAW STREET
122890,HESTER STREET
122950,HIGH BRIDGE
122960,HIGHBRIDGE PARK BOUNDARY
122990,HILLSIDE AVENUE
122995,HOGAN PLACE
123090,HORATIO STREET
123130,HOWARD STREET
123170,HUBERT STREET
123190,HUDSON STREET
123210,HUDSON VIEW GARDENS
123250,ICARUS ROAD
123290,INDIAN ROAD
123350,INWOOD HILL PARK BOUNDARY
123390,IRVING PLACE
123490,ISHAM STREET
123532,JACKSON STREET
123590,JACOBUS PLACE
123690,JAMES STREET
123790,JANE STREET
123890,JAY STREET
123990,JEFFERSON STREET
124010,JERSEY STREET
124050,JOHN STREET
124080,JONES ALLEY
124090,JONES STREET
124095,JOSEPH P WARD STREET
124120,JUMEL PLACE
124125,JUMEL TERRACE
124190,KENMARE STREET
124210,KIMBALL ROAD
124240,KIMMEL ROAD
124260,KING AVENUE
124290,KING STREET
124370,LAFAYETTE COURT
124390,LAFAYETTE STREET
124400,LAIGHT STREET
124490,LA SALLE STREET
124590,LAUREL HILL TERRACE
124690,ESPLANADE GDNS PLAZA
124695,LENOX TERRACE PLACE
124750,LEONARD STREET
124790,LEROY STREET
124870,LEWIS STREET
124890,LEXINGTON AVENUE
124985,LIBERTY PLACE
124990,LIBERTY STREET
124995,LILLIAN WALD DRIVE
125010,LISPENARD STREET
125020,LITTLE WEST 12 STREET
125090,LUDLOW STREET
125140,MAC DOUGAL ALLEY
125190,MAC DOUGAL STREET
125290,MACOMBS PLACE
125390,MADISON AVENUE
125490,MADISON STREET
125590,MAGAW PLACE
125630,MAIDEN LANE
125645,EAST MAIN STREET
125665,THE MALL
125670,MANGIN STREET
125675,MARGINAL STREET
125690,MANHATTAN AVENUE
125705,MARBLE HILL LANE
125790,MARBLE HILL AVENUE
125795,MARBLE CEMETERY BOUNDARY
125810,MARGARET CORBIN DRIVE
125830,MARGARET CORBIN PLAZA
125890,MARKET SLIP
125900,MARKETFIELD STREET
125960,MC KENNA SQUARE
125980,MECHANICS ALLEY
125985,METRO NORTH-CONNECTING RAIL LINE
125990,MERCER STREET
126010,MILL LANE
126040,MILLIGAN PLACE
126090,MINETTA LANE
126190,MINETTA STREET
126290,MITCHELL PLACE
126390,MONROE STREET
126440,MONTGOMERY STREET
126470,MOORE STREET
126490,MORNINGSIDE AVENUE
